date	내용
2021-12-07	메모리 가격 반등 및 서버 수요 긍정적 전망 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-12-13	12월 초 반도체 수출 호조 및 올해 반도체 제조장비 판매 사상 첫 1,000억 달러 돌파 전망 등에 상승(주도주 : DB하이텍)
2021-12-21	마이크론 테크놀로지, 예상치 상회하는 호실적 발표 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2021-12-22	마이크론테크놀로지 급등 및 필라델피아 반도체지수 급등 영향 등에 상승(주도주 : SK하이닉스, 삼성전자)
2021-12-23	반도체 수급 개선 기대감 등에 상승(주도주 : DB하이텍, 삼성전자)
2021-12-30	삼성전자, 시안 공장 가동률 조정 영향 등에 일부 관련주 상승(주도주 : SK하이닉스)
2022-01-05	ASML 독일 반도체 공장 화재 소식 속 EUV 노광장비 생산 차질 우려 등에 하락
2022-01-06	필라델피아반도체 지수 급락에 하락
2022-01-07	지난해 삼성전자 사상 최대 매출액 기록 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2022-01-11	中 시안 봉쇄 장기화 속 메모리 가격 회복 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스)
2022-01-12	'반도체 특별법' 국회 본회의 통과 및 D램 현물가격 상승 전망 등에 상승(주도주 : SK하이닉스, DB하이텍)
2022-01-21	필라델피아 반도체지수 급락 등에 하락
2022-01-28	반도체 수급개선 전망 및 SK하이닉스 실적 호조 등에 상승(주도주 : SK하이닉스, 삼성전자)
2022-02-09	필라델피아 반도체지수 급등 영향 등에 상승(주도주 : 삼성전자, DB하이텍)
2022-02-10	웨스턴디지털·키옥시아 日 반도체공장 조업 중단 소식 속 반사이익 기대감에 상승(주도주 : SK하이닉스)
2022-02-14	필라델피아 반도체지수 급락 영향 및 러시아, 반도체 핵심연료 네온·팔라듐 공급 중단 우려 등에 하락
2022-02-16	우크라이나 지정학적 리스크 완화 속 필라델피아 반도체지수 폭등, 올해 국내 반도체 산업 투자 확대 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2022-02-21	필라델피아반도체 지수 하락 및 네온 가스 공급 차질 우려 등에 하락
2022-02-24	필라델피아 반도체지수 급락 및 고순도 네온 가스 공급 차질 우려 지속 등에 하락
2022-02-25	필라델피아 반도체지수 반등 속 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2022-03-03	바이든 美 대통령 반도체 투자안 통과 촉구 속 필라델피아 반도체지수 급등 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2022-03-07	필라델피아 반도체지수 약세 및 러-우크라이나 사태에 따른 반도체 공급망 우려 등에 하락
2022-03-08	필라델피아반도체 지수 급락 및 수요 부진 우려 등에 하락
2022-03-10	美 바이든 대통령, 반도체 공급망 회의 삼성전자 초대 및 필라델피아 반도체 지수 급등 등에 상승(주도주 : DB하이텍, 삼성전자)
2022-03-11	필라델피아 반도체지수 급락 영향 등에 하락
2022-03-16	필라델피아 반도체지수 급등 및 인텔 대규모 투자 계획 발표 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2022-03-17	필라델피아 반도체지수 급등 및 우크라이나 지정학적 리스크 과대 반영 분석 등에 상승(주도주 : SK하이닉스)
2022-03-24	美 필라델피아반도체 지수 약세 등에 일부 관련주 하락
2022-03-30	美 필라델피아반도체 지수 상승 및 마이크론 호실적 등에 소폭 상승(주도주 : SK하이닉스)
2022-04-01	필라델피아 반도체지수 약세 영향 속 하락
2022-04-06	필라델피아 반도체지수 급락 등에 하락
2022-04-12	필라델피아 반도체지수 급락 영향에 하락
2022-04-13	尹정부, 반도체 세액공제율 최대 25%까지 상향 추진 소식 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2022-04-14	반도체 수요 위축 우려 등에 하락
2022-04-15	필라델피아 반도체지수 약세 영향 등에 하락
2022-04-19	美 필라델피아반도체 지수 상승 및 주가 탄력적 반등 전망 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2022-04-22	파월 Fed 의장 5월 빅스텝 가능성 시사 속 필라델피아 반도체지수 급락 등에 하락
2022-04-25	美 필라델피아반도체 지수 급락 등에 하락
2022-04-27	美 필라델피아반도체 지수 급락 등에 하락
2022-04-29	메타 등 빅테크 실적 호조 및 美증시 상승, 美 필라델피아반도체 지수 급등 등에 상승(주도주 : 삼성전자, SK하이닉스)
2022-05-06	FOMC 회의 결과 재해석 속 美 기술주 급락 등에 하락
2022-05-13	바이든 美 대통령, 삼성전자 공장 방문 가능성 및 투자 확대 기대감 등에 상승(주도주 : SK하이닉스, 삼성전자)
2022-05-19	美 기술주 급락 등에 하락
2022-05-20	美 바이든 대통령, 삼성 평택 반도체공장 방문 소식 등에 상승(주도주 : 삼성전자, SK하이닉스)
2022-05-24	美 하이퍼스케일 업체의 서버 디램 및 중국 서버 주문 오더컷 발생 루머 등에 하락
2022-05-26	경기둔화에 따른 서버 수요 급감 우려 및 엔비디아 실적 전망치 하향 조정 등에 하락
2022-05-27	美 필라델피아반도체 지수 급등 등에 상승(주도주 : SK하이닉스)
2022-05-30	美 기술주 급등 속 필라델피아 반도체지수 폭등 등에 상승(주도주 : 삼성전자, SK하이닉스)
2022-06-02	美 필라델피아반도체 지수 약세 등에 하락
2022-06-09	美 필라델피아반도체 지수 급락 등에 소폭 하락
2022-06-10	美 필라델피아 반도체지수 급락, 중국 올해 1~5월 반도체 수입량 대폭 감소 소식 등에 하락
2022-06-13	美 나스닥, 필라델피아 반도체지수 급락 등에 하락
2022-06-15	美 연준 자이언트스텝 우려 및 한국은행 7월 기준금리 추가 인상 우려 부각 등에 하락
2022-06-17	美 필라델피아 반도체지수 폭락 등에 하락
2022-06-20	하반기 메모리 반도체 가격 하락 전망 및 인텔 차세대 서버용 CPU 램프업 일정 연기 소식 등에 하락
2022-06-22	3분기 D램 가격 하락 전망 및 美 마이크론 목표주가 하향 등에 하락
2022-06-23	글로벌 경기 침체 우려 지속, 반도체 업황 회의론 확산 등에 하락
2022-06-27	美 필라델피아 반도체 지수 급등 및 정부, AI 반도체에 5년간 1조원 규모 투자 소식 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2022-06-29	필라델피아 반도체지수 급락 등에 하락
2022-06-30	씨티그룹의 마이크론 목표가 하향 소식 속 필라델피아반도체 지수 급락 등에 하락
2022-07-01	美 마이크론 향후 실적 부진 예고 속 반도체 경기침체 우려 확산에 하락
2022-07-07	삼성전자, 2분기 실적 선방 속 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2022-07-08	필라델피아 반도체지수 급등 등에 소폭 상승(주도주 : SK하이닉스, 삼성전자)
2022-07-12	필라델피아 반도체지수 급락 영향 등에 하락
2022-07-13	美 반도체 업체 마이크론 日 D램 라인 정전 소식 등에 상승(주도주 : DB하이텍, SK하이닉스)
2022-07-15	TSMC 2분기 호실적 및 필라델피아 반도체지수 강세 등에 상승(주도주 : SK하이닉스, 삼성전자)
2022-07-18	美 필라델피아 반도체 지수 급등 등에 상승(주도주 : 삼성전자, SK하이닉스)
2022-07-19	SK하이닉스 증설 보류 소식 등에 하락
2022-07-20	美 필라델피아 반도체 지수 급등 및 삼성전자 3나노 파운드리 공개 예정 소식 등에 일부 관련주 상승(주도주 : SK하이닉스)
2022-07-21	美 상원 반도체 산업 육성 법안 논의 소식 및 尹 정부 반도체 정책 기대감 등에 상승(주도주 : 삼성전자, DB하이텍)
2022-08-08	정부, 美 주도 반도체 공급망 협의체 '칩4' 예비회의 참여 소식 속 하락
2022-08-09	美 엔비디아 실적 부진 전망 등에 하락
2022-08-10	美 반도체 기업 실적 경고 및 반도체 공급망 협의체 '칩4' 부정적 영향 지속 등에 하락
2022-08-11	美 필라델피아 반도체 지수 급등 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2022-08-12	이재용 삼성전자 부회장 특별사면 소식 속 반도체 투자 기대감 등에 상승(주도주 : DB하이텍)
2022-08-16	삼성전자, 브라질에 반도체공장 신설 계획 및 4나노 파운드리 생산능력 확대 소식 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2022-08-17	메모리 등 반도체 수요 약화로 韓 반도체업체 수출 감소 전망 등에 하락
2022-08-19	삼성전자·SK하이닉스 반도체 재고 급증 속 하락
2022-08-22	Fed 공격적 긴축 우려 등에 따른 美 기술주 약세 및 8월 반도체 수출 역성장 우려 등에 하락
2022-08-26	필라델피아 반도체지수 급등 등에 상승(주도주 : DB하이텍, SK하이닉스)
2022-08-29	파월 Fed 의장 매파적 발언 속 필라델피아 반도체지수 폭락 등에 하락
2022-08-30	정부, 반도체 산업에 1조원 투자 소식 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2022-09-01	반도체 수출 26개월만에 감소 및 메모리 반도체 가격 하락세 지속 등에 하락
2022-09-02	미-중 반도체 패권 전쟁 속 반도체 투자 심리 악화 등에 하락
2022-09-07	필라델피아 반도체지수 약세 및 반도체 업종 어닝 컨센서스 하향 지속 전망 등에 하락
2022-09-13	필라델피아 반도체지수 상승 및 美, 中 반도체 장비 수출 규제 확대에 따른 반사이익 기대감 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2022-09-14	美 8월 CPI 쇼크 속 기술주 급락 등에 하락
2022-09-20	3분기 업황 부진 우려 등에 하락
2022-09-22	美 Fed, 자이언트스텝 단행, 고강도 긴축 지속 우려 속 美 기술주 하락 등에 하락
2022-09-23	반도체 업황 부진 영향 지속 등에 하락
2022-09-26	필라델피아 반도체지수 약세 및 삼성전자 실적 추정치 하향 등에 하락
2022-09-28	반도체 업황 악화 분석 등에 하락
2022-09-30	마이크론 감산 계획에 따른 반도체 수급 개선 기대감 등에 상승(주도주 : SK하이닉스)
2022-10-04	美 필라델피아 반도체 지수 급등 속 삼성전자, 2027년 1.4나노 양산 계획 발표 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2022-10-05	美 필라델피아 반도체 지수 급등 및 삼성전자 주주가치 제고 위한 TF 신설 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2022-10-06	美 필라델피아 반도체 지수 상승, 내년 2분기 반도체 업황 회복 기대감 등에 상승(주도주 : DB하이텍, 삼성전자)
2022-10-11	美, 대중 반도체 수출 규제 속 필라델피아 반도체지수 급락 등에 하락
2022-10-12	美, 삼성전자·SK하이닉스 중국 현지 공장 수출통제 조치 1년 유예 소식 속 상승(주도주 : SK하이닉스, 삼성전자, DB하이텍)
2022-10-14	美 주요 기술주 상승 등에 상승(주도주 : DB하이텍, 삼성전자)
2022-10-20	내년 반도체 매출액 역성장 전망 등에 하락
2022-10-25	美 필라델피아 반도체지수 상승 및 고객사 CapEx 축소 주가에 긍정적 분석 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2022-10-28	필라델피아 반도체지수 하락 및 주요 업체 실적 부진 등에 하락
2022-10-31	인텔 3분기 실적 호조 속 필라델피아 반도체지수 급등 등에 상승(주도주 : 삼성전자, DB하이텍)
2022-11-03	美 주요 기술주 하락 등에 하락
2022-11-07	필라델피아 반도체지수 폭등 및 23년 하반기 중 메모리 반도체 가격 반등 전망 등에 상승(주도주 : SK하이닉스, 삼성전자)
2022-11-08	필라델피아 반도체지수 급등 및 美 중간선거 후 반도체 업종 수혜 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스)
2022-11-10	美 주요 기술주 부진 등에 하락
2022-11-11	美 CPI 상승률 둔화 속 Fed 긴축 속도 조절 기대감 등에 상승(주도주 : SK하이닉스, 삼성전자, DB하이텍)
2022-11-14	10월 반도체 수출액 100억 달러 붕괴, 3개월 연속 내림세 기록 등에 하락
2022-11-15	DRAM 탑재량 증가로 인한 내년 업황 반등 전망 및 버크셔해서웨이 TSMC 지분 매입 소식 등에 상승(주도주 : DB하이텍, 삼성전자)
2022-11-17	마이크론테크놀로지 감산 소식 및 3분기 글로벌 D램 매출 급감 소식 등에 하락
2022-11-18	정부의 반도체 산업 지원 기대감 및 美 필라델피아 반도체지수 상승 등에 일부 관련주 상승 (주도주 : SK하이닉스, 삼성전자)
2022-11-21	반도체 재고 사이클 및 내년 서버용 D램 부진 전망 등에 하락
2022-11-22	삼성전자·SK하이닉스, 세계 반도체 시장 판매 순위 하락 및 DRAM 업체 마진 악화 우려 등에 하락
2022-11-23	반도체 및 OLED 내년 성장 기대감 등에 상승(주도주 : DB하이텍, 삼성전자)
2022-11-28	필라델피아 반도체지수 약세 영향 등에 하락
2022-12-01	美 긴축 속도조절 기대감 속 주요 기술주 강세 등에 상승(주도주 : DB하이텍)
2022-12-02	中 YMTC 세계 최초 232단 낸드 플래시 생산 소식 및 내년 메모리 반도체 시장 축소 우려 지속 등에 하락
2022-12-06	Fed 긴축 우려 재부각 속 美 필라델피아 반도체 지수 약세 등에 하락
2022-12-07	美 경기 침체 우려 속 주요 기술주 약세 등에 하락
2022-12-09	美 주요 기술주 반등 등에 상승(주도주 : SK하이닉스, 삼성전자)
2022-12-12	삼성전자·SK하이닉스, 실적 부진 전망 등에 하락
2022-12-14	美 CPI 둔화에 따른 美 기술주 상승 등에 상승(주도주 : 삼성전자, DB하이텍)
2022-12-15	파월 의장 매파적 발언 속 美 주요 기술주 부진 등에 하락
2022-12-16	Fed 긴축 우려 지속 및 美 소매판매 부진 속 美 증시 급락 등에 하락
2022-12-20	삼성전자·SK하이닉스, 4분기 실적 부진 전망 등에 하락
2022-12-21	12월1~20일 반도체 수출 부진 소식 및 삼성전자·SK하이닉스 실적 부진 우려 지속 등에 하락
2022-12-22	美 필라델피아 반도체 지수 급등 속 내년 하반기 반도체 업황 개선 전망 등에 상승(주도주 : 삼성전자, SK하이닉스, DB하이텍)
2022-12-23	Fed 긴축 우려 재부각 속 美 주요 기술주 부진 등에 하락
2022-12-26	후퇴한 K칩스법 통과 소식 등에 일부 관련주 하락
2022-12-28	美 주요 기술주 하락 및 국내 주요 반도체 기업 실적 우려 지속 등에 하락
2022-12-29	필라델피아 반도체지수 하락 및 11월 반도체 생산 감소 소식 등에 하락
2023-01-04	반도체 투자 세액공제 확대 추진 모멘텀 지속 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-01-06	삼성전자 실적 쇼크에도 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2023-01-09	美 주요 기술주 상승 등에 상승(주도주 : SK하이닉스, 삼성전자, DB하이텍)
2023-01-11	필라델피아 반도체지수 상승 및 국내 주요 반도체 업체 주가 반등 전망 등에 소폭 상승(주도주 : SK하이닉스, 삼성전자)
2023-01-16	인플레이션 완화 기대감 지속 속 美 주요 기술주 상승 영향 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2023-01-20	尹 대통령, 韓 반도체·2차전지 글로벌 공급망 핵심 파트너 언급 속 상승(주도주 : SK하이닉스)
2023-01-25	설 연휴 기간 美 필라델피아 반도체지수 상승 영향 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-01-30	인텔 실적쇼크 속 필라델피아 반도체지수 하락 등에 하락
2023-01-31	삼성전자, 반도체 실적 부진 및 "인위적 감산 없다" 입장 재확인 등에 하락(주도주 : 삼성전자, SK하이닉스)
2023-02-01	삼성전자, 사실상 감산 분석 및 美 필라델피아 반도체지수 상승 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-02-02	Fed 금리 인상 속도 조절·파월 의장 비둘기파적 발언 분석 등에 따른 美 기술주 강세 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2023-02-06	美 고용 지표 호조 속 Fed 긴축 조기 중단 기대감 후퇴 및 주요 기술주 실적 부진 여파, 美 필라델피아 반도체지수 하락 등에 하락
2023-02-07	데이터센터 서버용 D램 수요 회복 전망 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-02-08	필라델피아 반도체지수 급등, AI 챗봇 열풍 지속에 AI 반도체 수요 기대감 등으로 상승(주도주 : SK하이닉스, 삼성전자)
2023-02-09	필라델피아 반도체 지수 급락 등에 소폭 하락
2023-02-14	챗GPT發 AI 반도체 시장 확대 기대감 및 K-칩스법 통과 기대감 부각 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-02-16	AI 챗봇 열풍 속 AI반도체 수요 증가 기대감 지속 및 삼성전자-네이버 AI 반도체 솔루션 개발 착수 소식 등에 상승(주도주 : DB하이텍, 삼성전자, SK하이닉스)
2023-02-17	Fed 긴축 우려 심화 속 美 주요 기술주 약세 등에 하락
2023-02-21	2월1~20일 반도체 수출액 급감 등에 하락
2023-02-22	美 주요 기술주 하락 등에 하락
2023-02-23	엔비디아 호실적 발표 및 정부, 반도체 인력양성 투자 소식 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-02-27	강한 PCE 물가지표 속 美 증시 약세 영향 등에 하락
2023-03-06	美 국채금리 하락 속 주요 기술주 강세 등에 상승(주도주 : SK하이닉스, 삼성전자, DB하이텍)
2023-03-08	파월 의장 매파적 발언 등에 하락
2023-03-10	美 주요 기술주 하락, 1분기 D램 가격 하락 전망 및 삼성전자·SK하이닉스 실적 부진 우려 지속 등에 하락
2023-03-14	삼성전자·SK하이닉스, 재고 부담에 따른 실적 악화 전망 등에 하락
2023-03-15	尹 대통령, 300조원 규모 세계 최대 규모 신규 시스템 반도체 클러스터 구축 언급 소식 등에 상승(주도주 : 삼성전자)
2023-03-17	필라델피아 반도체지수 급등 및 K칩스법 조세소위 통과, 日 반도체 수출 규제 해제 소식 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-03-21	3월 1~20일 무역적자 63억 달러, 반도체 수출 급감(전년동기대비 -44.7%) 소식 및 1분기 실적 부진 우려 등에 하락
2023-03-22	美 반도체법 가드레일 조항 양호 분석 및 K칩스법 상임위 통과 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-03-23	美 연준 베이비스텝 단행, 연내 기준금리 인하 기대감 후퇴 속 美 주요 기술주 하락 등에 일부 관련주 하락
2023-03-24	업황 바닥 기대감 및 美 필라델피아 반도체 지수 급등 등에 상승(주도주 : DB하이텍, 삼성전자)
2023-03-30	K칩스법 기대감 및 반도체 업황 회복 기대감 지속 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-04-03	삼성전자·SK하이닉스, 1분기 어닝쇼크 전망 등에 하락
2023-04-06	경기 침체 우려 속 美 주요 대형 기술주 약세 등에 하락
2023-04-07	삼성전자 실적 쇼크 속 메모리 감산 공식화 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-04-11	반도체 업황 바닥 형성 분석 및 필라델피아 반도체지수 강세 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2023-04-18	반도체 업황 부진 속 TSMC 설비투자 삭감 우려 등에 하락
2023-04-20	필라델피아 반도체지수 하락 영향 등에 하락
2023-04-21	반도체 업황 저점 통과 기대감 지속 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-04-24	美, 중국의 마이크론 제재시 삼성전자·SK하이닉스 대체 물량 판매 확대 자제 요구 등에 하락
2023-04-26	빅테크 투자 지속 및 2분기부터 메모리 감산 영향 본격화 전망 등에 일부 관련주 상승(주도주 : SK하이닉스, 삼성전자)
2023-05-04	파월 의장, 금리 인하 가능성 일축 소식 등에 하락
2023-05-08	애플 호실적 발표 속 美 주요 기술주 상승 등에 일부 관련주 상승(주도주 : 삼성전자)
2023-05-10	올해 2분기 메모리 반도체 가격 하락 전망 등에 하락
2023-05-11	반도체 수출 감소세 지속 등에 하락
2023-05-15	반도체 업황 부진에 따른 ICT 분야 수출액 10개월 연속 감소세 등에 하락
2023-05-16	필라델피아 반도체지수 급등 및 반도체산업 3분기 점진적 회복 전망 등에 일부 관련주 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-05-17	하반기 공급 주도의 업황 턴어라운드 기대감 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-05-18	하반기 반도체 수급 개선 기대감 및 필라델피아 반도체지수 급등 등에 상승(주도주 : 삼성전자, SK하이닉스)
2023-05-19	필라델피아 반도체지수 급등 및 하반기 반도체 수급개선 기대감 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2023-05-25	AI 시장 확대에 따른 엔비디아 실적 서프라이즈 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-05-26	엔비디아發 훈풍 지속 및 필라델피아반도체 지수 폭등 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-05-30	엔비디아, 새로운 AI 슈퍼컴퓨터 출시 등 엔비디아發 훈풍 지속 등에 상승(주도주 : 삼성전자, SK하이닉스)
2023-05-31	5월 D램 평균 고정거래가 전월 대비 3.45% 하락, D램 가격 하락세 지속 등에 하락
2023-06-01	필라델피아 반도체지수 급락 및 5월 반도체 수출 부진 등에 일부 관련주 하락
2023-06-08	정부, 반도체 초격차 기술 확보에 대규모 투자 소식에 상승(주도주 : SK하이닉스, DB하이텍)
2023-06-09	하반기 반도체 업황 회복 기대감 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-06-13	필라델피아 반도체지수 급등 및 美, 對中 반도체 수출통제 유예 연장 기대감 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-06-15	美 필라델피아 반도체지수 강세 등에 일부 관련주 상승(주도주 : DB하이텍)
2023-06-20	반도체 업황 사이클 조기 도래 전망 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-06-21	6월1~20일 반도체 수출 전년비 23.5% 감소 소식 및 필라델피아 반도체지수 하락 등에 하락
2023-06-23	필라델피아 반도체지수 상승 및 Generative AI 업계 투자 점증 소식, 아마존 생성형 AI 센터에 1억달러 투자 수혜 기대감 등에 상승(주도주 : DB하이텍, 삼성전자)
2023-06-26	메모리 수량 성장 및 Micron 실적 발표 기대감 등에 일부 관련주 상승(주도주 : 삼성전자)
2023-06-28	美 필라델피아 반도체 지수 급등 및 2분기 실적 개선 기대감 등에 상승(주도주 : SK하이닉스)
2023-06-29	美 마이크론 테크놀로지 호실적 등에 일부 관련주 상승(주도주 : SK하이닉스)
2023-06-30	美 마이크론 큰 폭 하락세 및 5월 반도체 경기 부진 등에 하락
2023-07-03	필라델피아 반도체지수 강세 및 반도체 업황 회복 기대감 지속 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-07-06	中, 반도체 재료 희귀금속 갈륨·게르마늄 수출 통제 여파 속 필라델피아 반도체지수 급락 등에 하락
2023-07-07	삼성전자 2분기 잠정실적 발표, 필라델피아 반도체지수 약세 마감 등에 하락
2023-07-11	美 필라델피아 반도체지수 급등 및 하반기 반도체 업황 회복 기대감 등에 상승(주도주 : 삼성전자, SK하이닉스)
2023-07-12	삼성전자 4나노 서버용 AI반도체 신규 고객 확보 소식 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-07-14	엔비디아發 훈풍 지속 속 필라델피아 반도체지수 급등 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-07-21	TSMC 2분기 순이익 4년만에 첫 감소 소식 및 美 필라델피아 반도체지수 급락 등에 하락
2023-07-27	하반기 반도체 업황 회복 및 고부가 제품 생산 확대 전망 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-07-28	필라델피아반도체지수 강세 및 인텔 3분기 매출 전망치 시장 예상치 상회 등에 상승(주도주 : SK하이닉스)
2023-08-02	美 반도체 굴기에 따른 국내 반도체 업체 피해 우려 등에 하락
2023-08-03	美 반도체주 급락 영향 등에 하락
2023-08-09	하반기 반도체 수급 개선 기대감 등에 상승(주도주 : 삼성전자, DB하이텍)
2023-08-10	바이든 행정부, 中 첨단산업 투자제한 행정명령 발표 등에 따른 필라델피아 반도체지수 약세 영향 등에 하락
2023-08-14	필라델피아 반도체지수 급락 영향 등에 하락
2023-08-16	사우디·아랍에미리트 등 엔비디아 고성능 반도체 칩 대량 주문 소식 속 엔비디아 주가 강세 등에 일부 관련주 상승(주도주 : SK하이닉스)
2023-08-18	6월 반도체 수출물량지수 역대 최대치 소식 등에 상승(주도주 : DB하이텍, SK하이닉스)
2023-08-24	엔비디아, 2분기 어닝 서프라이즈 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-08-25	필라델피아 반도체지수 급락 영향 등에 하락
2023-08-29	정부, 12대 국가전략기술에 내년 5조원 투자 소식 등에 상승(주도주 : SK하이닉스, DB하이텍)
2023-08-30	삼성전자, 차세대 HBM4 2025년 양산 추진 소식 및 필라델피아 반도체지수 강세 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-09-01	삼성전자, 엔비디아 'HBM3' 공급 소식 및 반도체 수출 개선 지속 등에 상승(주도주 : 삼성전자, DB하이텍)
2023-09-04	낸드 공급 과잉 지속, 하반기 수요 회복 비관적 전망 등에 하락
2023-09-08	필라델피아 반도체지수 하락 및 화웨이 스마트폰에 SK하이닉스 칩 포함 논란 속 하락
2023-09-13	반도체 업황 회복 기대감 등에 일부 관련주 상승(주도주 : SK하이닉스, 삼성전자)
2023-09-14	ARM 상장 기대감 및 메모리 반도체 업황 정상화 임박 분석 등에 상승(주도주 : SK하이닉스)
2023-09-18	TSMC, 수요 둔화 우려에 따른 장비 납품 연기 요청 소식 및 필라델피아 반도체지수 급락 등에 하락
2023-09-21	필라델피아 반도체지수 약세 등에 하락
2023-09-26	美 국채금리 상승 영향 등에 하락
2023-10-04	美 국채금리 급등에 따른 美 기술주 약세 등에 하락
2023-10-05	8월 반도체 생산 13개월 만에 증가세 전환 및 美 필라델피아 반도체지수 반등 등에 일부 관련주 상승(주도주 : SK하이닉스, DB하이텍)
2023-10-06	삼성전자, 인간형 반도체 개발 계획 발표 및 오픈 AI, 자체 AI 반도체 생산 모색 소식 등에 일부 관련주 상승(주도주 : DB하이텍)
2023-10-11	美 국채금리 하락, 필라델피아 반도체 지수 강세 속 삼성전자 3분기 잠정실적 호조 등에 상승(주도주 : DB하이텍, 삼성전자)
2023-10-12	삼성전자 3분기 잠정실적 호조 영향 지속 속 메모리 반도체 턴어라운드 전망 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-10-17	메모리 재고감소 국면 속 AI붐 수혜 전망 및 필라델피아 반도체지수 강세 등에 상승(주도주 : SK하이닉스, DB하이텍, 삼성전자)
2023-10-19	美 국채금리 급등에 따른 美 주요 기술주 약세 등에 하락
2023-10-20	美 10년물 국채금리 5% 돌파 소식 등에 하락
2023-10-24	엔비디아, ARM 기반 PC용 칩 개발 추진 소식 등에 상승(주도주 : SK하이닉스)
2023-10-26	美 필라델피아 반도체 지수 급락 등에 하락
2023-10-30	필라델피아 반도체지수 강세 및 PC 재고조정 막바지 국면 분석 등에 일부 관련주 상승(주도주 : DB하이텍)
2023-10-31	필라델피아 반도체지수 약세 영향 등에 하락
2023-11-01	美 필라델피아 반도체지수 반등 속 삼성전자 대규모 투자 추진 계획, D램 가격 상승 소식 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-11-02	美 긴축 종료 기대감 속 AMD 칩 매출 긍정 전망 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2023-11-06	美 필라델피아 반도체지수 급등, DRAM과 NAND 고정가격 상승 영향 등에 상승(주도주 : DB하이텍, SK하이닉스, 삼성전자)
2023-11-14	삼성전자/SK하이닉스, 4분기 실적 개선 전망 등에 소폭 상승(주도주 : DB하이텍)
2023-11-15	美 국채금리 급락 및 필라델피아 반도체 지수 급등 등에 상승(주도주 : SK하이닉스, 삼성전자)
2023-11-16	MS, 'AI 칩' 최초 공개 속 韓 기업 수혜 전망 등에 소폭 상승(주도주 : 삼성전자, DB하이텍)
2023-11-21	엔비디아 실적 기대감 및 반도체 업황 개선 기대감 지속 등에 일부 관련주 상승(주도주 : SK하이닉스, 삼성전자)
